Segment;Country; Product ; Discount Band ;Units Sold; Manufacturing Price ; Sale Price ; Gross Sales ; Discounts ; Sales ; COGS ; Profit ;Date;Month Number; Month Name ;Year
Public Sector;Sweden;Cruiser; Medium ;1289;$ 265,00;$ 384,25;$ 495.298,25;$ 99.059,65;$ 396.238,60;$ 358.664,25;$ 37.574,35;7/12/2017;12; December ;2017
Public Sector;Germany;Cruiser; Low ;1253;$ 265,00;$ 384,25;$ 481.465,25;$ 48.146,53;$ 433.318,73;$ 348.647,25;$ 84.671,48;5/3/2017;3; March ;2017
Small Business;France;Cruiser; Medium ;1250;$ 265,00;$ 384,25;$ 480.312,50;$ 96.062,50;$ 384.250,00;$ 347.812,50;$ 36.437,50;7/8/2017;8; August ;2017
Retail Partner;Germany;Cruiser; None ;1236;$ 265,00;$ 384,25;$ 474.933,00;    ;$ 474.933,00;$ 343.917,00;$ 131.016,00;3/6/2017;6; June ;2017
Public Sector;Germany;Cruiser; Medium ;1168;$ 265,00;$ 384,25;$ 448.804,00;$ 89.760,80;$ 359.043,20;$ 324.996,00;$ 34.047,20;5/5/2017;5; May ;2017
Public Sector;France;Cruiser; Medium ;1122;$ 265,00;$ 384,25;$ 431.128,50;$ 86.225,70;$ 344.902,80;$ 312.196,50;$ 32.706,30;5/3/2017;3; March ;2017
Public Sector;France;Cruiser; Medium ;1108;$ 265,00;$ 384,25;$ 425.749,00;$ 85.149,80;$ 340.599,20;$ 308.301,00;$ 32.298,20;5/1/2017;1; January ;2017
Public Sector;France;Cruiser; Low ;1100;$ 265,00;$ 384,25;$ 422.675,00;$ 42.267,50;$ 380.407,50;$ 306.075,00;$ 74.332,50;3/7/2017;7; July ;2017
Public Sector;Norway;Cruiser; High ;1094;$ 265,00;$ 384,25;$ 420.369,50;$ 105.092,38;$ 315.277,13;$ 304.405,50;$ 10.871,63;7/2/2017;2; February ;2017
Public Sector;Finland;Cruiser; High ;1038;$ 265,00;$ 384,25;$ 398.851,50;$ 99.712,88;$ 299.138,63;$ 288.823,50;$ 10.315,13;7/2/2017;2; February ;2017
Corporate;France;Cruiser; Low ;1030;$ 265,00;$ 384,25;$ 395.777,50;$ 39.577,75;$ 356.199,75;$ 286.597,50;$ 69.602,25;5/3/2017;3; March ;2017
Public Sector;Germany;Cruiser; Medium ;1026;$ 265,00;$ 384,25;$ 394.240,50;$ 78.848,10;$ 315.392,40;$ 285.484,50;$ 29.907,90;7/6/2017;6; June ;2017
Small Business;Sweden;Cruiser; Medium ;1026;$ 265,00;$ 384,25;$ 394.240,50;$ 78.848,10;$ 315.392,40;$ 285.484,50;$ 29.907,90;7/9/2017;9; September ;2017
Public Sector;Sweden;Cruiser; High ;999;$ 265,00;$ 384,25;$ 383.865,75;$ 95.966,44;$ 287.899,31;$ 277.971,75;$ 9.927,56;7/10/2017;10; October ;2017
Public Sector;Germany;Cruiser; High ;959;$ 265,00;$ 384,25;$ 368.495,75;$ 92.123,94;$ 276.371,81;$ 266.841,75;$ 9.530,06;7/4/2017;4; April ;2017
Small Business;France;Cruiser; High ;949;$ 265,00;$ 384,25;$ 364.653,25;$ 91.163,31;$ 273.489,94;$ 264.059,25;$ 9.430,69;7/12/2017;12; December ;2017
Public Sector;Germany;Cruiser; Medium ;927;$ 265,00;$ 384,25;$ 356.199,75;$ 71.239,95;$ 284.959,80;$ 257.937,75;$ 27.022,05;5/10/2017;10; October ;2017
Individual;Germany;Cruiser; None ;918;$ 265,00;$ 384,25;$ 352.741,50;    ;$ 352.741,50;$ 243.270,00;$ 109.471,50;3/3/2017;3; March ;2017
Retail Partner;Finland;Cruiser; Low ;914;$ 265,00;$ 384,25;$ 351.204,50;$ 35.120,45;$ 316.084,05;$ 254.320,50;$ 61.763,55;3/6/2017;6; June ;2017
Corporate;Norway;Cruiser; Low ;910;$ 265,00;$ 384,25;$ 349.667,50;$ 34.966,75;$ 314.700,75;$ 253.207,50;$ 61.493,25;5/12/2017;12; December ;2017
Small Business;Norway;Cruiser; Medium ;880;$ 265,00;$ 384,25;$ 338.140,00;$ 67.628,00;$ 270.512,00;$ 244.860,00;$ 25.652,00;5/12/2017;12; December ;2017
Public Sector;Finland;Cruiser; High ;786;$ 265,00;$ 384,25;$ 302.020,50;$ 75.505,13;$ 226.515,38;$ 218.704,50;$ 7.810,88;7/1/2017;1; January ;2017
Public Sector;Norway;Cruiser; Medium ;784;$ 265,00;$ 384,25;$ 301.252,00;$ 60.250,40;$ 241.001,60;$ 218.148,00;$ 22.853,60;5/4/2017;4; April ;2017
Small Business;Norway;Cruiser; None ;766;$ 265,00;$ 384,25;$ 294.335,50;    ;$ 294.335,50;$ 213.139,50;$ 81.196,00;3/8/2017;8; August ;2017
Public Sector;Germany;Cruiser; High ;613;$ 265,00;$ 384,25;$ 235.545,25;$ 58.886,31;$ 176.658,94;$ 170.567,25;$ 6.091,69;7/1/2017;1; January ;2017
Public Sector;Norway;Cruiser; Medium ;576;$ 265,00;$ 384,25;$ 221.328,00;$ 44.265,60;$ 177.062,40;$ 160.272,00;$ 16.790,40;5/9/2017;9; September ;2017
Individual;Germany;Cruiser; Medium ;569;$ 265,00;$ 384,25;$ 218.638,25;$ 43.727,65;$ 174.910,60;$ 158.324,25;$ 16.586,35;7/12/2017;12; December ;2017
Public Sector;Sweden;Cruiser; Medium ;566;$ 265,00;$ 384,25;$ 217.485,50;$ 43.497,10;$ 173.988,40;$ 157.489,50;$ 16.498,90;7/6/2017;6; June ;2017
Retail Partner;Norway;Cruiser; Low ;552;$ 265,00;$ 384,25;$ 212.106,00;$ 21.210,60;$ 190.895,40;$ 153.594,00;$ 37.301,40;3/11/2017;11; November ;2017
Corporate;Finland;Cruiser; Low ;530;$ 265,00;$ 384,25;$ 203.652,50;$ 20.365,25;$ 183.287,25;$ 147.472,50;$ 35.814,75;3/10/2017;10; October ;2017
Public Sector;Germany;Cruiser; Medium ;516;$ 265,00;$ 384,25;$ 198.273,00;$ 39.654,60;$ 158.618,40;$ 143.577,00;$ 15.041,40;7/7/2017;7; July ;2017
Individual;Germany;Cruiser; None ;492;$ 265,00;$ 384,25;$ 189.051,00;    ;$ 189.051,00;$ 136.899,00;$ 52.152,00;3/12/2017;12; December ;2017
Retail Partner;Norway;Cruiser; High ;483;$ 265,00;$ 384,25;$ 185.592,75;$ 46.398,19;$ 139.194,56;$ 134.394,75;$ 4.799,81;7/6/2017;6; June ;2017
Small Business;Norway;Cruiser; High ;437;$ 265,00;$ 384,25;$ 167.917,25;$ 41.979,31;$ 125.937,94;$ 121.595,25;$ 4.342,69;7/10/2017;10; October ;2017
Public Sector;France;Cruiser; Low ;435;$ 265,00;$ 384,25;$ 167.148,75;$ 16.714,88;$ 150.433,88;$ 121.038,75;$ 29.395,13;3/9/2017;9; September ;2017
Public Sector;Sweden;Cruiser; Medium ;390;$ 265,00;$ 384,25;$ 149.857,50;$ 29.971,50;$ 119.886,00;$ 108.517,50;$ 11.368,50;7/2/2017;2; February ;2017
Public Sector;Sweden;Cruiser; High ;310;$ 265,00;$ 384,25;$ 119.117,50;$ 29.779,38;$ 89.338,13;$ 86.257,50;$ 3.080,63;7/9/2017;9; September ;2017
Corporate;Sweden;Cruiser; None ;276;$ 265,00;$ 384,25;$ 106.053,00;    ;$ 106.053,00;$ 76.797,00;$ 29.256,00;3/10/2017;10; October ;2017
Small Business;Germany;Cruiser; Medium ;267;$ 265,00;$ 384,25;$ 102.594,75;$ 20.518,95;$ 82.075,80;$ 74.292,75;$ 7.783,05;7/12/2017;12; December ;2017
Small Business;France;Cruiser; Medium ;258;$ 265,00;$ 384,25;$ 99.136,50;$ 19.827,30;$ 79.309,20;$ 71.788,50;$ 7.520,70;7/9/2017;9; September ;2017
Public Sector;France;Cruiser; High ;234;$ 265,00;$ 384,25;$ 89.914,50;$ 22.478,63;$ 67.435,88;$ 65.110,50;$ 2.325,38;7/2/2017;2; February ;2017
Public Sector;Sweden;Cruiser; High ;160;$ 265,00;$ 384,25;$ 61.480,00;$ 15.370,00;$ 46.110,00;$ 44.520,00;$ 1.590,00;7/5/2017;5; May ;2017
Corporate;France;Electric; Low ;3395;$ 285,00;$ 413,25;$ 1.402.983,75;$ 140.298,38;$ 1.262.685,38;$ 1.015.953,75;$ 246.731,63;3/4/2017;4; April ;2017
Corporate;Germany;Electric; High ;2756;$ 285,00;$ 413,25;$ 1.138.917,00;$ 284.729,25;$ 854.187,75;$ 824.733,00;$ 29.454,75;3/4/2017;4; April ;2017
Public Sector;Germany;Electric; High ;2397;$ 285,00;$ 413,25;$ 990.560,25;$ 247.640,06;$ 742.920,19;$ 717.302,25;$ 25.617,94;5/6/2017;6;June;2017
Public Sector;Germany;Electric; Low ;2282;$ 285,00;$ 413,25;$ 943.036,50;$ 94.303,65;$ 848.732,85;$ 682.888,50;$ 165.844,35;5/7/2017;7; July ;2017
Public Sector;Germany;Electric; Low ;2281;$ 285,00;$ 413,25;$ 942.623,25;$ 94.262,33;$ 848.360,93;$ 682.589,25;$ 165.771,68;3/6/2017;6;June;2017
Individual;Germany;Electric; Medium ;2275;$ 285,00;$ 413,25;$ 940.143,75;$ 188.028,75;$ 752.115,00;$ 680.793,75;$ 71.321,25;5/5/2017;5; May ;2017
Corporate;France;Electric; High ;2257;$ 285,00;$ 413,25;$ 932.705,25;$ 233.176,31;$ 699.528,94;$ 675.407,25;$ 24.121,69;5/7/2017;7; July ;2017
Small Business;Germany;Electric; High ;2249;$ 285,00;$ 413,25;$ 929.399,25;$ 232.349,81;$ 697.049,44;$ 673.013,25;$ 24.036,19;3/7/2017;7; July ;2017
Individual;France;Electric; Medium ;2233;$ 285,00;$ 413,25;$ 922.787,25;$ 184.557,45;$ 738.229,80;$ 668.225,25;$ 70.004,55;3/11/2017;11; November ;2017
Corporate;Germany;Electric; High ;2214;$ 285,00;$ 413,25;$ 914.935,50;$ 228.733,88;$ 686.201,63;$ 662.539,50;$ 23.662,13;3/8/2017;8; August ;2017
Public Sector;France;Electric; High ;2165;$ 285,00;$ 413,25;$ 894.686,25;$ 223.671,56;$ 671.014,69;$ 647.876,25;$ 23.138,44;3/11/2017;11; November ;2017
Individual;Germany;Electric; High ;2151;$ 285,00;$ 413,25;$ 888.900,75;$ 222.225,19;$ 666.675,56;$ 643.686,75;$ 22.988,81;5/8/2017;8; August ;2017
Retail Partner;France;Electric; Low ;2137;$ 285,00;$ 413,25;$ 883.115,25;$ 88.311,53;$ 794.803,73;$ 639.497,25;$ 155.306,48;3/9/2017;9; September ;2017
Public Sector;Germany;Electric; Low ;2064;$ 285,00;$ 413,25;$ 852.948,00;$ 85.294,80;$ 767.653,20;$ 617.652,00;$ 150.001,20;3/4/2017;4; April ;2017
Public Sector;France;Electric; High ;2063;$ 285,00;$ 413,25;$ 852.534,75;$ 213.133,69;$ 639.401,06;$ 617.352,75;$ 22.048,31;3/4/2017;4; April ;2017
Individual;Germany;Electric; High ;2054;$ 285,00;$ 413,25;$ 848.815,50;$ 212.203,88;$ 636.611,63;$ 614.659,50;$ 21.952,13;5/5/2017;5; May ;2017
Public Sector;Germany;Electric; Low ;2023;$ 285,00;$ 413,25;$ 836.004,75;$ 83.600,48;$ 752.404,28;$ 605.382,75;$ 147.021,53;5/7/2017;7; July ;2017
Public Sector;France;Electric; High ;2017;$ 285,00;$ 413,25;$ 833.525,25;$ 208.381,31;$ 625.143,94;$ 603.587,25;$ 21.556,69;3/1/2017;1; January ;2017
Public Sector;France;Electric; Medium ;1990;$ 285,00;$ 413,25;$ 822.367,50;$ 164.473,50;$ 657.894,00;$ 595.507,50;$ 62.386,50;5/5/2017;5; May ;2017
Individual;France;Electric; None ;1976;$ 285,00;$ 413,25;$ 816.582,00;    ;$ 816.582,00;$ 591.318,00;$ 225.264,00;5/8/2017;8; August ;2017
Corporate;France;Electric; High ;1953;$ 285,00;$ 413,25;$ 807.077,25;$ 201.769,31;$ 605.307,94;$ 584.435,25;$ 20.872,69;3/10/2017;10; October ;2017
Corporate;Germany;Electric; High ;1933;$ 285,00;$ 413,25;$ 798.812,25;$ 199.703,06;$ 599.109,19;$ 578.450,25;$ 20.658,94;3/9/2017;9; September ;2017
Individual;Sweden;Electric; High ;1840;$ 285,00;$ 413,25;$ 760.380,00;$ 190.095,00;$ 570.285,00;$ 550.620,00;$ 19.665,00;5/3/2017;3; March ;2017
Retail Partner;Germany;Electric; Medium ;1839;$ 285,00;$ 413,25;$ 759.966,75;$ 151.993,35;$ 607.973,40;$ 550.320,75;$ 57.652,65;2/7/2017;7; July ;2017
Small Business;France;Electric; Medium ;1745;$ 285,00;$ 413,25;$ 721.121,25;$ 144.224,25;$ 576.897,00;$ 522.191,25;$ 54.705,75;2/7/2017;7; July ;2017
Individual;France;Electric; None ;1742;$ 285,00;$ 413,25;$ 719.881,50;    ;$ 719.881,50;$ 521.293,50;$ 198.588,00;5/6/2017;6; June ;2017
Corporate;France;Electric; High ;1725;$ 285,00;$ 413,25;$ 712.856,25;$ 178.214,06;$ 534.642,19;$ 516.206,25;$ 18.435,94;2/7/2017;7; July ;2017
Public Sector;France;Electric; Low ;1724;$ 285,00;$ 413,25;$ 712.443,00;$ 71.244,30;$ 641.198,70;$ 515.907,00;$ 125.291,70;5/5/2017;5; May ;2017
Public Sector;France;Electric; Low ;1716;$ 285,00;$ 413,25;$ 709.137,00;$ 70.913,70;$ 638.223,30;$ 513.513,00;$ 124.710,30;3/11/2017;11; November ;2017
Individual;Germany;Electric; Medium ;1624;$ 285,00;$ 413,25;$ 671.118,00;$ 134.223,60;$ 536.894,40;$ 485.982,00;$ 50.912,40;5/5/2017;5; May ;2017
Small Business;Germany;Electric; Low ;1617;$ 285,00;$ 413,25;$ 668.225,25;$ 66.822,53;$ 601.402,73;$ 483.887,25;$ 117.515,48;3/6/2017;6;June;2017
Retail Partner;Germany;Electric; Low ;1558;$ 285,00;$ 413,25;$ 643.843,50;$ 64.384,35;$ 579.459,15;$ 466.231,50;$ 113.227,65;3/9/2017;9; September ;2017
Retail Partner;Sweden;Electric; High ;1550;$ 285,00;$ 413,25;$ 640.537,50;$ 160.134,38;$ 480.403,13;$ 463.837,50;$ 16.565,63;3/2/2017;2; February ;2017
Retail Partner;Sweden;Electric; Medium ;1507;$ 285,00;$ 413,25;$ 622.767,75;$ 124.553,55;$ 498.214,20;$ 450.969,75;$ 47.244,45;3/8/2017;8; August ;2017
Retail Partner;France;Electric; Medium ;1492;$ 285,00;$ 413,25;$ 616.569,00;$ 123.313,80;$ 493.255,20;$ 446.481,00;$ 46.774,20;3/2/2017;2; February ;2017
Retail Partner;Germany;Electric; Low ;1486;$ 285,00;$ 413,25;$ 614.089,50;$ 61.408,95;$ 552.680,55;$ 444.685,50;$ 107.995,05;5/2/2017;2; February ;2017
Public Sector;Norway;Electric; Medium ;1467;$ 285,00;$ 413,25;$ 606.237,75;$ 121.247,55;$ 484.990,20;$ 438.999,75;$ 45.990,45;3/9/2017;9; September ;2017
Public Sector;France;Electric; High ;1432;$ 285,00;$ 413,25;$ 591.774,00;$ 147.943,50;$ 443.830,50;$ 428.526,00;$ 15.304,50;3/3/2017;3; March ;2017
Public Sector;Germany;Electric; Medium ;1409;$ 285,00;$ 413,25;$ 582.269,25;$ 116.453,85;$ 465.815,40;$ 421.643,25;$ 44.172,15;3/3/2017;3; March ;2017
Public Sector;Finland;Electric; High ;1394;$ 285,00;$ 413,25;$ 576.070,50;$ 144.017,63;$ 432.052,88;$ 417.154,50;$ 14.898,38;5/3/2017;3; March ;2017
Public Sector;Sweden;Electric; None ;1295;$ 285,00;$ 413,25;$ 535.158,75;    ;$ 535.158,75;$ 387.528,75;$ 147.630,00;5/1/2017;1; January ;2017
Retail Partner;Germany;Electric; Medium ;1264;$ 285,00;$ 413,25;$ 522.348,00;$ 104.469,60;$ 417.878,40;$ 378.252,00;$ 39.626,40;3/9/2017;9; September ;2017
Public Sector;France;Electric; Medium ;1250;$ 285,00;$ 413,25;$ 516.562,50;$ 103.312,50;$ 413.250,00;$ 374.062,50;$ 39.187,50;3/5/2017;5; May ;2017
Individual;Sweden;Electric; High ;1248;$ 285,00;$ 413,25;$ 515.736,00;$ 128.934,00;$ 386.802,00;$ 373.464,00;$ 13.338,00;3/11/2017;11; November ;2017
Corporate;Norway;Electric; Medium ;1232;$ 285,00;$ 413,25;$ 509.124,00;$ 101.824,80;$ 407.299,20;$ 368.676,00;$ 38.623,20;3/8/2017;8; August ;2017
Public Sector;Germany;Electric; None ;1210;$ 285,00;$ 413,25;$ 500.032,50;    ;$ 500.032,50;$ 362.092,50;$ 137.940,00;5/12/2017;12; December ;2017
Individual;Germany;Electric; High ;1210;$ 285,00;$ 413,25;$ 500.032,50;$ 125.008,13;$ 375.024,38;$ 362.092,50;$ 12.931,88;3/11/2017;11; November ;2017
Small Business;Sweden;Electric; High ;1197;$ 285,00;$ 413,25;$ 494.660,25;$ 123.665,06;$ 370.995,19;$ 358.202,25;$ 12.792,94;3/6/2017;6; June ;2017
Corporate;France;Electric; High ;1186;$ 285,00;$ 413,25;$ 490.114,50;$ 122.528,63;$ 367.585,88;$ 354.910,50;$ 12.675,38;5/8/2017;8; August ;2017
Retail Partner;Sweden;Electric; Low ;1156;$ 285,00;$ 413,25;$ 477.717,00;$ 47.771,70;$ 429.945,30;$ 345.933,00;$ 84.012,30;5/9/2017;9; September ;2017
Public Sector;Norway;Electric; Low ;1118;$ 285,00;$ 413,25;$ 462.013,50;$ 46.201,35;$ 415.812,15;$ 334.561,50;$ 81.250,65;5/3/2017;3; March ;2017
Public Sector;Norway;Electric; Medium ;1090;$ 285,00;$ 413,25;$ 450.442,50;$ 90.088,50;$ 360.354,00;$ 326.182,50;$ 34.171,50;5/3/2017;3; March ;2017
Public Sector;Germany;Electric; None ;1057;$ 285,00;$ 413,25;$ 436.805,25;    ;$ 436.805,25;$ 316.307,25;$ 120.498,00;5/1/2017;1; January ;2017
Retail Partner;Sweden;Electric; Low ;1036;$ 285,00;$ 413,25;$ 428.127,00;$ 42.812,70;$ 385.314,30;$ 310.023,00;$ 75.291,30;3/10/2017;10; October ;2017
Public Sector;Norway;Electric; Low ;968;$ 285,00;$ 413,25;$ 400.026,00;$ 40.002,60;$ 360.023,40;$ 289.674,00;$ 70.349,40;5/3/2017;3; March ;2017
Retail Partner;France;Electric; High ;958;$ 285,00;$ 413,25;$ 395.893,50;$ 98.973,38;$ 296.920,13;$ 286.681,50;$ 10.238,63;3/10/2017;10; October ;2017
Corporate;France;Electric; High ;939;$ 285,00;$ 413,25;$ 388.041,75;$ 97.010,44;$ 291.031,31;$ 280.995,75;$ 10.035,56;3/8/2017;8; August ;2017
Public Sector;Finland;Electric; Medium ;894;$ 285,00;$ 413,25;$ 369.445,50;$ 73.889,10;$ 295.556,40;$ 267.529,50;$ 28.026,90;3/1/2017;1; January ;2017
Retail Partner;Germany;Electric; Medium ;893;$ 285,00;$ 413,25;$ 369.032,25;$ 73.806,45;$ 295.225,80;$ 267.230,25;$ 27.995,55;3/2/2017;2; February ;2017
Small Business;Sweden;Electric; Medium ;875;$ 285,00;$ 413,25;$ 361.593,75;$ 72.318,75;$ 289.275,00;$ 261.843,75;$ 27.431,25;3/6/2017;6; June ;2017
Corporate;Germany;Electric; High ;868;$ 285,00;$ 413,25;$ 358.701,00;$ 89.675,25;$ 269.025,75;$ 259.749,00;$ 9.276,75;3/10/2017;10; October ;2017
Corporate;France;Electric; High ;818;$ 285,00;$ 413,25;$ 338.038,50;$ 84.509,63;$ 253.528,88;$ 244.786,50;$ 8.742,38;3/9/2017;9; September ;2017
Public Sector;Germany;Electric; Medium ;813;$ 285,00;$ 413,25;$ 335.972,25;$ 67.194,45;$ 268.777,80;$ 243.290,25;$ 25.487,55;3/11/2017;11; November ;2017
Small Business;Finland;Electric; High ;808;$ 285,00;$ 413,25;$ 333.906,00;$ 83.476,50;$ 250.429,50;$ 241.794,00;$ 8.635,50;3/10/2017;10; October ;2017
Small Business;Finland;Electric; Medium ;793;$ 285,00;$ 413,25;$ 327.707,25;$ 65.541,45;$ 262.165,80;$ 237.305,25;$ 24.860,55;5/3/2017;3; March ;2017
Public Sector;Sweden;Electric; High ;738;$ 285,00;$ 413,25;$ 304.978,50;$ 76.244,63;$ 228.733,88;$ 220.846,50;$ 7.887,38;3/3/2017;3; March ;2017
Retail Partner;Sweden;Electric; Low ;726;$ 285,00;$ 413,25;$ 300.019,50;$ 30.001,95;$ 270.017,55;$ 217.255,50;$ 52.762,05;3/12/2017;12; December ;2017
Individual;Germany;Electric; None ;710;$ 285,00;$ 413,25;$ 293.407,50;    ;$ 293.407,50;$ 212.467,50;$ 80.940,00;5/6/2017;6; June ;2017
Corporate;Germany;Electric; Medium ;710;$ 285,00;$ 413,25;$ 293.407,50;$ 58.681,50;$ 234.726,00;$ 212.467,50;$ 22.258,50;3/12/2017;12; December ;2017
Public Sector;Norway;Electric; High ;709;$ 285,00;$ 413,25;$ 292.994,25;$ 73.248,56;$ 219.745,69;$ 212.168,25;$ 7.577,44;5/3/2017;3; March ;2017
Public Sector;Sweden;Electric; Low ;665;$ 285,00;$ 413,25;$ 274.811,25;$ 27.481,13;$ 247.330,13;$ 199.001,25;$ 48.328,88;3/5/2017;5; May ;2017
Public Sector;Sweden;Electric; Medium ;655;$ 285,00;$ 413,25;$ 270.678,75;$ 54.135,75;$ 216.543,00;$ 196.008,75;$ 20.534,25;3/7/2017;7; July ;2017
Small Business;Norway;Electric; High ;641;$ 285,00;$ 413,25;$ 264.893,25;$ 66.223,31;$ 198.669,94;$ 191.819,25;$ 6.850,69;3/7/2017;7; July ;2017
Public Sector;Germany;Electric; High ;634;$ 285,00;$ 413,25;$ 262.000,50;$ 65.500,13;$ 196.500,38;$ 189.724,50;$ 6.775,88;3/3/2017;3; March ;2017
Retail Partner;Germany;Electric; Low ;613;$ 285,00;$ 413,25;$ 253.322,25;$ 25.332,23;$ 227.990,03;$ 183.440,25;$ 44.549,78;3/10/2017;10; October ;2017
Corporate;Sweden;Electric; Low ;594;$ 285,00;$ 413,25;$ 245.470,50;$ 24.547,05;$ 220.923,45;$ 177.754,50;$ 43.168,95;3/4/2017;4; April ;2017
Retail Partner;Norway;Electric; Medium ;582;$ 285,00;$ 413,25;$ 240.511,50;$ 48.102,30;$ 192.409,20;$ 174.163,50;$ 18.245,70;3/2/2017;2; February ;2017
Public Sector;Germany;Electric; Medium ;530;$ 285,00;$ 413,25;$ 219.022,50;$ 43.804,50;$ 175.218,00;$ 158.602,50;$ 16.615,50;3/5/2017;5; May ;2017
Public Sector;Finland;Electric; Medium ;456;$ 285,00;$ 413,25;$ 188.442,00;$ 37.688,40;$ 150.753,60;$ 136.458,00;$ 14.295,60;3/12/2017;12; December ;2017
Retail Partner;Norway;Electric; Medium ;450;$ 285,00;$ 413,25;$ 185.962,50;$ 37.192,50;$ 148.770,00;$ 134.662,50;$ 14.107,50;3/9/2017;9; September ;2017
Public Sector;Norway;Electric; Medium ;417;$ 285,00;$ 413,25;$ 172.325,25;$ 34.465,05;$ 137.860,20;$ 124.787,25;$ 13.072,95;3/12/2017;12; December ;2017
Individual;France;Electric; Medium ;392;$ 285,00;$ 413,25;$ 161.994,00;$ 32.398,80;$ 129.595,20;$ 117.306,00;$ 12.289,20;3/11/2017;11; November ;2017
Small Business;France;Electric; Medium ;358;$ 285,00;$ 413,25;$ 147.943,50;$ 29.588,70;$ 118.354,80;$ 107.131,50;$ 11.223,30;3/6/2017;6; June ;2017
Public Sector;Germany;Electric; High ;354;$ 285,00;$ 413,25;$ 146.290,50;$ 36.572,63;$ 109.717,88;$ 105.934,50;$ 3.783,38;3/9/2017;9; September ;2017
Retail Partner;Finland;Electric; High ;309;$ 285,00;$ 413,25;$ 127.694,25;$ 31.923,56;$ 95.770,69;$ 92.468,25;$ 3.302,44;3/10/2017;10; October ;2017
Retail Partner;Norway;Electric; Medium ;294;$ 285,00;$ 413,25;$ 121.495,50;$ 24.299,10;$ 97.196,40;$ 87.979,50;$ 9.216,90;3/10/2017;10; October ;2017
Corporate;Finland;Electric; Low ;264;$ 285,00;$ 413,25;$ 109.098,00;$ 10.909,80;$ 98.188,20;$ 79.002,00;$ 19.186,20;3/9/2017;9; September ;2017
Public Sector;Germany;Electric; High ;224;$ 285,00;$ 413,25;$ 92.568,00;$ 23.142,00;$ 69.426,00;$ 67.032,00;$ 2.394,00;3/12/2017;12; December ;2017
Public Sector;Finland;Electric; Low ;219;$ 285,00;$ 413,25;$ 90.501,75;$ 9.050,18;$ 81.451,58;$ 65.535,75;$ 15.915,83;3/12/2017;12; December ;2017
Public Sector;Finland;Electric; Medium ;210;$ 285,00;$ 413,25;$ 86.782,50;$ 17.356,50;$ 69.426,00;$ 62.842,50;$ 6.583,50;3/11/2017;11; November ;2017
Small Business;Germany;Electric; Low ;171;$ 285,00;$ 413,25;$ 70.665,75;$ 7.066,58;$ 63.599,18;$ 51.171,75;$ 12.427,43;3/10/2017;10; October ;2017
Small Business;Norway;Electric; Low ;;$ 285,00;$ 413,25;    ;    ;    ;    ;    ;3/10/2017;10; October ;2017
Small Business;Germany;Electric; Low ;;$ 285,00;$ 413,25;    ;    ;    ;    ;    ;3/6/2017;6; June ;2017
Individual;France;Mountain; High ;3100;$ 350,00;$ 507,50;$ 1.573.250,00;$ 393.312,50;$ 1.179.937,50;$ 1.139.250,00;$ 40.687,50;9/7/2017;7; July ;2017
Retail Partner;France;Mountain; Medium ;2596;$ 350,00;$ 507,50;$ 1.317.470,00;$ 263.494,00;$ 1.053.976,00;$ 954.030,00;$ 99.946,00;5/1/2017;1; January ;2017
Corporate;France;Mountain; High ;2363;$ 350,00;$ 507,50;$ 1.199.222,50;$ 299.805,63;$ 899.416,88;$ 868.402,50;$ 31.014,38;5/8/2017;8; August ;2017
Public Sector;France;Mountain; High ;2348;$ 350,00;$ 507,50;$ 1.191.610,00;$ 297.902,50;$ 893.707,50;$ 862.890,00;$ 30.817,50;9/11/2017;11; November ;2017
Public Sector;Norway;Mountain; High ;2322;$ 350,00;$ 507,50;$ 1.178.415,00;$ 294.603,75;$ 883.811,25;$ 853.335,00;$ 30.476,25;9/3/2017;3; March ;2017
Public Sector;Germany;Mountain; Low ;2302;$ 350,00;$ 507,50;$ 1.168.265,00;$ 116.826,50;$ 1.051.438,50;$ 845.985,00;$ 205.453,50;5/5/2017;5; May ;2017
Small Business;Germany;Mountain; Low ;2275;$ 350,00;$ 507,50;$ 1.154.562,50;$ 115.456,25;$ 1.039.106,25;$ 836.062,50;$ 203.043,75;5/5/2017;5; May ;2017
Individual;Germany;Mountain; Medium ;2275;$ 350,00;$ 507,50;$ 1.154.562,50;$ 230.912,50;$ 923.650,00;$ 836.062,50;$ 87.587,50;5/6/2017;6; June ;2017
Retail Partner;Germany;Mountain; None ;2270;$ 350,00;$ 507,50;$ 1.152.025,00;    ;$ 1.152.025,00;$ 834.225,00;$ 317.800,00;5/4/2017;4; April ;2017
Public Sector;Germany;Mountain; High ;2246;$ 350,00;$ 507,50;$ 1.139.845,00;$ 284.961,25;$ 854.883,75;$ 825.405,00;$ 29.478,75;5/8/2017;8; August ;2017
Small Business;Germany;Mountain; Medium ;2198;$ 350,00;$ 507,50;$ 1.115.485,00;$ 223.097,00;$ 892.388,00;$ 807.765,00;$ 84.623,00;5/5/2017;5; May ;2017
Corporate;Germany;Mountain; Low ;2183;$ 350,00;$ 507,50;$ 1.107.872,50;$ 110.787,25;$ 997.085,25;$ 802.252,50;$ 194.832,75;5/7/2017;7; July ;2017
Public Sector;Germany;Mountain; Medium ;2151;$ 350,00;$ 507,50;$ 1.091.632,50;$ 218.326,50;$ 873.306,00;$ 790.492,50;$ 82.813,50;7/6/2017;6; June ;2017
